id,speakers,previous,tokens,tags
881,UGV-1,Operator Boden 1 für Teamleader kommen,Operator Boden 1 hört,5
882,TL,Operator Boden 1 hört,was hatten Sie?,3
883,UGV-1,was hatten Sie?,die ausströmende Flüssigkeit ist ein dichter weißlicher Nebel Flüssigkeit unbekannt,2
884,TL,die ausströmende Flüssigkeit ist ein dichter weißlicher Nebel Flüssigkeit unbekannt,alles klar,2
885,TL,alles klar,ist es möglich ein Foto von dem Fass zu machen was daneben steht?,3
886,UGV-1,ist es möglich ein Foto von dem Fass zu machen was daneben steht?,weiterhin technisch nicht möglich Fotos zu senden,0
887,TL,weiterhin technisch nicht möglich Fotos zu senden,gut,2
888,TL,gut,Mission Commander für Teamleader kommen,4
889,MC,Mission Commander für Teamleader kommen,Mission Commander hört,5
890,TL,Mission Commander hört,ein Trupp ist in der Nähe dort wo auch der Operator Boden 1 seinen Roboter hat und hat dort ein Fass entdeckt in Grün und ein weiteres Fass mit einer Plakette drauf - ätzend - in Gelb und braucht weitere Unterstützung,2
891,TL,ein Trupp ist in der Nähe dort wo auch der Operator Boden 1 seinen Roboter hat und hat dort ein Fass entdeckt in Grün und ein weiteres Fass mit einer Plakette drauf - ätzend - in Gelb und braucht weitere Unterstützung,ich fordere weitere Kräfte an,2
892,MC,ich fordere weitere Kräfte an,okay dann ändern wir Einsatzstichwort auf technische Hilfe ABC,2
893,MC,okay dann ändern wir Einsatzstichwort auf technische Hilfe ABC,versuchen Sie mit hilfe der Bodenroboter die Substanzen herauszufinden,1
894,MC,versuchen Sie mit hilfe der Bodenroboter die Substanzen herauszufinden,oder ob es möglich ist die Leckage abzudichten,1
895,TL,oder ob es möglich ist die Leckage abzudichten,ja verstanden,7
896,TL,ja verstanden,Mission Commander für Teamleader,4
897,MC,Mission Commander für Teamleader,Mission Commander hört,5
898,TL,Mission Commander hört,draußen steht ein Löschzug mit Blaulicht,2
899,TL,draußen steht ein Löschzug mit Blaulicht,soll ich die mal ansprechen? nicht dass sie wegen dem Rauch hier stehen,3
900,MC,soll ich die mal ansprechen? nicht dass sie wegen dem Rauch hier stehen,ja auf jeden Fall mach das mal,7
901,TL,ja auf jeden Fall mach das mal,alles klar,2
902,TL,alles klar,es kommt jetzt hier ein Gruppenführer,2
903,TL,es kommt jetzt hier ein Gruppenführer,Übungende,1
904,TL,Übungende,für alle: Übungende,1
905,UAV,für alle: Übungende,okay,7
906,UGV-2,okay,okay,7
907,TL,okay,Bodenoperator für Teamleader kommen,4
908,TL,Bodenoperator für Teamleader kommen,Bodenoperator 1 für Teamleader,4
909,UGV-1,Bodenoperator 1 für Teamleader,Bodenoperator 1 hört,5
910,TL,Bodenoperator 1 hört,wir können jetzt gleich starten die Drohne ist bereit,2
911,TL,wir können jetzt gleich starten die Drohne ist bereit,Bodenoperator 2 für Teamleader kommen,4
912,TL,Bodenoperator 2 für Teamleader kommen,Bodenoperator 2 für Teamleader kommen,4
913,UGV-2,Bodenoperator 2 für Teamleader kommen,hier Bodenoperator 2,5
914,TL,hier Bodenoperator 2,Verständigung einwandfrei,3
915,UGV-2,Verständigung einwandfrei,ja ich verstehe Sie,7
916,TL,ja ich verstehe Sie,gut,2
917,TL,gut,Drohnenoperator für Teamleader kommen,4
918,TL,Drohnenoperator für Teamleader kommen,Drohnenoperator für Teamleader kommen,4
919,TL,Drohnenoperator für Teamleader kommen,Drohnenoperator für Team-Operator kommen,4
920,UGV-2,Drohnenoperator für Team-Operator kommen,hier Robot-Operator 2,4
921,TL,hier Robot-Operator 2,Verständigung war einwandfrei?,3
922,UGV-2,Verständigung war einwandfrei?,ja ich verstehe Sie einwandfrei,7
923,UAV,ja ich verstehe Sie einwandfrei,UAV-Operator,5
924,UAV,UAV-Operator,wir sind einsatzbereit,2
925,UAV,wir sind einsatzbereit,UAV operator für team leader,4
926,UAV,UAV operator für team leader,sollen wir starten mit der UAV und einen Überblick verschaffen?,3
927,TL,sollen wir starten mit der UAV und einen Überblick verschaffen?,ja,7
928,TL,ja,Drohnenoperator starten Sie und machen Sie sich einen Überblick über die Lage,1
929,TL,Drohnenoperator starten Sie und machen Sie sich einen Überblick über die Lage,über- machen,6
930,TL,über- machen,wir vermissen Personen und eine unklare Sache in der ganzen Area,2
931,UAV,wir vermissen Personen und eine unklare Sache in der ganzen Area,okay,7
932,TL,okay,Bodenoperator für Teamleader kommen,4
933,UGV-2,Bodenoperator für Teamleader kommen,hier Bodenoperator 2,5
934,TL,hier Bodenoperator 2,starten Sie Ihre Roboter zur Erkundung der Area,1
935,TL,starten Sie Ihre Roboter zur Erkundung der Area,ist eine unklare Sache wir wissen noch nicht genau was da passiert ist,2
936,TL,ist eine unklare Sache wir wissen noch nicht genau was da passiert ist,Personen sind vermisst,2
937,UGV-2,Personen sind vermisst,starten die Suche mit Roboter 2 jetzt,7
938,TL,starten die Suche mit Roboter 2 jetzt,Bodenoperator 1 für Teamleader kommen,4
939,UGV-1,Bodenoperator 1 für Teamleader kommen,Bodenoperator 1 hat mitgehört und startet ebenfalls,5
940,UAV,Bodenoperator 1 hat mitgehört und startet ebenfalls,UAV-Operator an Teamleader,4
941,UAV,UAV-Operator an Teamleader,ich habe ein Bild veröffentlicht,2
942,UAV,ich habe ein Bild veröffentlicht,was zeigte dass keine Rauchentwicklung gibt über der Anlage,2
943,TL,was zeigte dass keine Rauchentwicklung gibt über der Anlage,ja Teamleader hat mitgehört,2
944,TL,ja Teamleader hat mitgehört,aber so leichte Rauchentwicklung ist jetzt zu sehen,2
945,TL,aber so leichte Rauchentwicklung ist jetzt zu sehen,mehr Richtung Hochofen einmal schauen,1
946,UAV,mehr Richtung Hochofen einmal schauen,okay,7
947,UGV-1,okay,Teamleader von Bodenoperator 1,4
948,TL,Teamleader von Bodenoperator 1,Teamleader hört,5
949,UGV-1,Teamleader hört,ich bin am Ende der ersten Rampe hab in beiden Richtungen geguckt,2
950,UGV-1,ich bin am Ende der ersten Rampe hab in beiden Richtungen geguckt,in keiner Richtung was Auffälliges,2
951,UGV-1,in keiner Richtung was Auffälliges,soll ich rechts oder links rum?,3
952,TL,soll ich rechts oder links rum?,Position beibehalten,2
953,TL,Position beibehalten,wir versuchen weitere Informationen zu bekommen,2
954,TL,wir versuchen weitere Informationen zu bekommen,Drohnenoperator für Teamleader kommen,4
955,UAV,Drohnenoperator für Teamleader kommen,hier Drohnenoperator,5
956,TL,hier Drohnenoperator,ist bei euch was zu sehen?,3
957,UAV,ist bei euch was zu sehen?,wir mussten gerade die Applikation nochmal neu starten,2
958,UAV,wir mussten gerade die Applikation nochmal neu starten,ich hab Bilder freigegeben wir versuchen sie gerade sichtbar zu machen,2
959,TL,ich hab Bilder freigegeben wir versuchen sie gerade sichtbar zu machen,auf meinem Tablet ist nix zu sehen,2
960,UAV,auf meinem Tablet ist nix zu sehen,okay,2
961,UAV,okay,ein paar Sekunden noch,2
962,TL,ein paar Sekunden noch,Bodenoperator 1 für Teamleader kommen,4
963,UGV-1,Bodenoperator 1 für Teamleader kommen,hier Bodenoperator 1,5
964,TL,hier Bodenoperator 1,da ich eine leichte Rauchentwicklung auf der linken Seite sehe bitte den Weg zur linken Seite fortsetzen,1
965,UGV-1,da ich eine leichte Rauchentwicklung auf der linken Seite sehe bitte den Weg zur linken Seite fortsetzen,nach links verstanden,7
966,TL,nach links verstanden,Bodenoperator 1 für Teamleader kommen,4
967,UGV-1,Bodenoperator 1 für Teamleader kommen,hier Bodenoperator 1,5
968,TL,hier Bodenoperator 1,fährst du die falsche Richtung?,3
969,UGV-1,fährst du die falsche Richtung?,Teamleader für Bodenoperator 1,4
970,TL,Teamleader für Bodenoperator 1,Teamleader hört,5
971,UGV-1,Teamleader hört,voraus ist 'ne Treppe und da drüber relativ dichter Rauch zu sehen,2
972,UGV-1,voraus ist 'ne Treppe und da drüber relativ dichter Rauch zu sehen,soll ich ein Foto machen?,2
973,TL,soll ich ein Foto machen?,ja wenn's geht,7
974,TL,ja wenn's geht,näher ranfahren zum Lokalisieren wo dieser Rauch entsteht und Foto machen und mir senden,1
975,TL,näher ranfahren zum Lokalisieren wo dieser Rauch entsteht und Foto machen und mir senden,aber ich kann immer noch nichts empfangen,2
976,UAV,aber ich kann immer noch nichts empfangen,Teamleader für UAV bereit da?,4
977,TL,Teamleader für UAV bereit da?,Teamleader hört,5
978,TL,Teamleader hört,die Bilder habe ich jetzt bekommen,2
979,UAV,die Bilder habe ich jetzt bekommen,alles klar,2
980,UAV,alles klar,man kann von oben sehen dass der Rauch aus dem Gebäude austritt,2
981,TL,man kann von oben sehen dass der Rauch aus dem Gebäude austritt,das habe ich auch gesehen,2
982,TL,das habe ich auch gesehen,ich schick da erst mal ein Trupp ein,2
983,UGV-2,ich schick da erst mal ein Trupp ein,Teamleader für Robot-Operator 2,4
984,TL,Teamleader für Robot-Operator 2,ja Teamleader hört,5
985,UGV-2,ja Teamleader hört,wir haben leider Probleme mit dem Joystick und sitzen noch an der Startposition fest,2
986,UGV-2,wir haben leider Probleme mit dem Joystick und sitzen noch an der Startposition fest,wir versuchen das jetzt zu beheben,2
987,TL,wir versuchen das jetzt zu beheben,wenn ihr ja weiter einsatzbereit seid dann bitte melden,1
988,UGV-2,wenn ihr ja weiter einsatzbereit seid dann bitte melden,machen wir,7
989,UGV-1,machen wir,Teamleader für Bodenoperator 1,4
990,UGV-1,Teamleader für Bodenoperator 1,Teamleader für Bodenoperator 1,4
991,TL,Teamleader für Bodenoperator 1,Teamleader hört,5
992,UGV-1,Teamleader hört,vor mir ist ein grünes Fass und da obendrauf steht noch ein gelbes und ich habe Personen in dem Rauch gesehen,2
993,UGV-1,vor mir ist ein grünes Fass und da obendrauf steht noch ein gelbes und ich habe Personen in dem Rauch gesehen,der Rauch kommt von rechts,2
994,TL,der Rauch kommt von rechts,verstanden,2
995,UGV-1,verstanden,ich versuche von dem Fass ein gutes Foto zu machen,2
996,TL,ich versuche von dem Fass ein gutes Foto zu machen,okay,7
997,UGV-1,okay,Teamleader für Bodenroboter 1,4
998,TL,Teamleader für Bodenroboter 1,Teamleader hört,5
999,UGV-1,Teamleader hört,Bodenoperator 1 hat die Leckage gefunden an einem Stromerzeuger,2
1000,UGV-1,Bodenoperator 1 hat die Leckage gefunden an einem Stromerzeuger,Foto wurde gesendet,2
1001,UGV-1,Foto wurde gesendet,hast du denn es empfangen?,3
1002,UGV-1,hast du denn es empfangen?,Teamleader für Bodenoperator 1,4
1003,TL,Teamleader für Bodenoperator 1,Teamleader hört,5
1004,UGV-1,Teamleader hört,eine Person gesichtet,2
1005,UGV-1,eine Person gesichtet,ist in der Nähe von dem Fass und von der Leckage wo der Rauch austritt,2
1006,UGV-1,ist in der Nähe von dem Fass und von der Leckage wo der Rauch austritt,Foto habe ich dir geschickt,2
1007,TL,Foto habe ich dir geschickt,versta- Mission,6
1008,TL,versta- Mission,Mission Operator für Teamleader kommen,4
1009,UAV,Mission Operator für Teamleader kommen,Teamleader für UAV-Operator,4
1010,UAV,Teamleader für UAV-Operator,Teamleader für UAV-Operator,4
1011,TL,Teamleader für UAV-Operator,Teamleiter kann hören,5
1012,UAV,Teamleiter kann hören,wir haben ein Opfer gefunden liegt auf liegt auf der hinteren Seite des Hochofens angelehnt scheint bewusstlos zu sein,2
1013,TL,wir haben ein Opfer gefunden liegt auf liegt auf der hinteren Seite des Hochofens angelehnt scheint bewusstlos zu sein,ja ich schick mal ein Trupp hin,2
1014,UAV,ja ich schick mal ein Trupp hin,da ist keine Rauchentwicklung,2
1015,TL,da ist keine Rauchentwicklung,okay ich schick ein Trupp hin,2
1016,UGV-1,okay ich schick ein Trupp hin,Teamleader für Bodenoperator 1,4
1017,UGV-1,Teamleader für Bodenoperator 1,hab Sie nicht verstanden,2
1018,TL,hab Sie nicht verstanden,ich kann nur noch kommunizieren ich kann keine Bilder empfangen oder auch senden,2
1019,TL,ich kann nur noch kommunizieren ich kann keine Bilder empfangen oder auch senden,kommen,4
1020,UGV-2,kommen,Teamleader für Bodenoperator 2 kommen,4
1021,TL,Teamleader für Bodenoperator 2 kommen,Teamleader hört,5
1022,UGV-2,Teamleader hört,wir haben das Problem behoben mit der Fernsteuerung und machen uns auf auf den Weg hinein,2
1023,TL,wir haben das Problem behoben mit der Fernsteuerung und machen uns auf auf den Weg hinein,wie gesagt ich kann keine Bilder empfangen,2
1024,UGV-1,wie gesagt ich kann keine Bilder empfangen,Teamleader für Bodenoperator 1,4
1025,TL,Teamleader für Bodenoperator 1,Teamleader hört,5
1026,UGV-1,Teamleader hört,eine Person gesichtet ist auf der Ebene auf der auch die Leckage ist hinter dem ersten Hochofen,2
1027,UGV-1,eine Person gesichtet ist auf der Ebene auf der auch die Leckage ist hinter dem ersten Hochofen,halb liegend,2
1028,TL,halb liegend,verstanden,2
1029,TL,verstanden,UGV-1 von Teamleader Leiter,4
1030,TL,UGV-1 von Teamleader Leiter,UGV-1 von Teamleiter,4
1031,TL,UGV-1 von Teamleiter,Nicht gerade,6
1032,TL,Nicht gerade,UGV-2 von Teamleiter,4
1033,UGV-2,UGV-2 von Teamleiter,UGV-2 hört,5
1034,TL,UGV-2 hört,Für Sie kurze Lageinformation es gab einen Unglücksfall in dem länglichen Graphecs Gebäude Luftbildaufnahmen sagen dass es unstabil und unsicher für Personen ist,2
1035,TL,Für Sie kurze Lageinformation es gab einen Unglücksfall in dem länglichen Graphecs Gebäude Luftbildaufnahmen sagen dass es unstabil und unsicher für Personen ist,Unsere Aufgabe erstellen einer Karte des Gebäudes,2
1036,UGV-2,Unsere Aufgabe erstellen einer Karte des Gebäudes,Erstellen einer Lage einer Karte des länglichen Gebäudes verstanden,2
1037,TL,Erstellen einer Lage einer Karte des länglichen Gebäudes verstanden,Für Sie konkreter Auftrag Sie begeben sich zur nördlichen Gebäudekante und bewegen sich dann westwärts,1
1038,TL,Für Sie konkreter Auftrag Sie begeben sich zur nördlichen Gebäudekante und bewegen sich dann westwärts,Das ist so korrekt,2
1039,TL,Das ist so korrekt,UGV-1 von Teamleiter,4
1040,UAV,UGV-1 von Teamleiter,Teamleader von UAV operator kommen,4
1041,TL,Teamleader von UAV operator kommen,Teamleader,5
1042,UAV,Teamleader,Ja die 3D Karte ist in Arbeit Dauer für das Modell circa halbe Stunde,2
1043,UAV,Ja die 3D Karte ist in Arbeit Dauer für das Modell circa halbe Stunde,in der Ar- in Arbeit,6
1044,UAV,in der Ar- in Arbeit,komme wieder wenn Aufgabe beendet,2
1045,TL,komme wieder wenn Aufgabe beendet,Das ist verstanden,7
1046,TL,Das ist verstanden,UGV-1 von Teamleiter,4
1047,UGV-1,UGV-1 von Teamleiter,Hier ist UGV-1,5
1048,TL,Hier ist UGV-1,Frage Standort,3
1049,UGV-2,Frage Standort,Teamleiter von UGV-2,4
1050,TL,Teamleiter von UGV-2,Teamleiter,5
1051,UGV-2,Teamleiter,Ich hab mal ein Foto gemacht,2
1052,UGV-2,Ich hab mal ein Foto gemacht,das ist die Wand meines Erachtens in nördlicher Feuerlöscheinrichtung und Lagerteile an den Wänden der Regalen,2
1053,TL,das ist die Wand meines Erachtens in nördlicher Feuerlöscheinrichtung und Lagerteile an den Wänden der Regalen,Bis jetzt ist das Foto noch nicht angekommen,2
1054,TL,Bis jetzt ist das Foto noch nicht angekommen,haben Sie auf Teilen geklickt?,3
1055,TL,haben Sie auf Teilen geklickt?,UGV-1 von Teamleiter,4
1056,UGV-1,UGV-1 von Teamleiter,Hier ist UGV-1,5
1057,TL,Hier ist UGV-1,Frage Ihr Standort immer noch mittig in der Halle oder inzwischen weiter in Richtung Westen,3
1058,UGV-1,Frage Ihr Standort immer noch mittig in der Halle oder inzwischen weiter in Richtung Westen,Ja ist mittig in der Halle,2
1059,UGV-1,Ja ist mittig in der Halle,Ich habe hier eine Erkenntniss hier ist ein Feuerlöscher fehlt,2
1060,UGV-1,Ich habe hier eine Erkenntniss hier ist ein Feuerlöscher fehlt,Bild kommt,2
1061,TL,Bild kommt,Das ist verstanden,7
1062,TL,Das ist verstanden,UGV-1 von Teamleiter,4
1063,UGV-1,UGV-1 von Teamleiter,Hier ist UGV-1,5
1064,TL,Hier ist UGV-1,Teilen Sie mir bitte auch mal ein Foto in ihrer Fahrtrichtung,1
1065,UGV-1,Teilen Sie mir bitte auch mal ein Foto in ihrer Fahrtrichtung,Ja kommt,7
1066,TL,Ja kommt,UGV-2 von Teamleiter,4
1067,UGV-2,UGV-2 von Teamleiter,Direction is correct,2
1068,TL,Direction is correct,UGV-1 von Teamleiter,4
1069,UGV-1,UGV-1 von Teamleiter,Hier ist UGV-1,5
1070,TL,Hier ist UGV-1,Haben Sie das Foto bereits geteilt?,3
1071,UGV-1,Haben Sie das Foto bereits geteilt?,Bild müsste da sein ja,7
1072,TL,Bild müsste da sein ja,Ja hier ist mal nichts,2
1073,TL,Ja hier ist mal nichts,dann liegt's an mir,2
1074,UGV-1,dann liegt's an mir,Dann mag es so sein,2
1075,TL,Dann mag es so sein,UGV-2 von Teamleiter,4
1076,UGV-2,UGV-2 von Teamleiter,Hier UGV-2,5
1077,TL,Hier UGV-2,Haben Sie irgendwelche Anzeichen von Gebäudeschäden gefunden?,3
1078,UGV-2,Haben Sie irgendwelche Anzeichen von Gebäudeschäden gefunden?,Bisschen rissige Säulen aber es wird halten Überdimensionierung,2
1079,TL,Bisschen rissige Säulen aber es wird halten Überdimensionierung,Ja das ist verstanden,2
1080,TL,Ja das ist verstanden,UGV-1 von Teamleiter,4
1081,TL,UGV-1 von Teamleiter,UAV operator von Teamleiter,4
1082,UAV,UAV operator von Teamleiter,Hier UAV operator,5
1083,TL,Hier UAV operator,Für sie Auftrag innerhalb des Gebäudes nach Hitze- und Rauchquellen suchen,1
1084,TL,Für sie Auftrag innerhalb des Gebäudes nach Hitze- und Rauchquellen suchen,Sollten dabei Verletzte oder chemische Substanzen gesichtet werden ebenfalls bitte melden und auf der Karte markieren,1
1085,UAV,Sollten dabei Verletzte oder chemische Substanzen gesichtet werden ebenfalls bitte melden und auf der Karte markieren,Ja zur Erkundung von Rauchquellen Personen,7
1086,UAV,Ja zur Erkundung von Rauchquellen Personen,Vor zur Information und Protektion oberhalb,2
1087,TL,Vor zur Information und Protektion oberhalb,Ja das ist verstanden,2
1088,TL,Ja das ist verstanden,Sie kommt sehr leise über Funk,2
1089,UAV,Sie kommt sehr leise über Funk,Ja,2
1090,TL,Ja,Jetzt hör ich dich besser,2
1091,TL,Jetzt hör ich dich besser,UGV-2 von Teamleiter,4
1092,UGV-2,UGV-2 von Teamleiter,Hier UGV-2,5
1093,TL,Hier UGV-2,Für Sie Auftrag Sie sind mit Messgeräten zur Gasmessung ausgestattet alle 15 Minuten die Gaskonzentration messen,1
1094,TL,Für Sie Auftrag Sie sind mit Messgeräten zur Gasmessung ausgestattet alle 15 Minuten die Gaskonzentration messen,Und desweiteren erkunden Sie die südliche Gebäudewand von ihrem Standort aus in westlicher Richtung,1
