id,speakers,isoda,tokens,tags
1982,TL,Information nachfragen,wie sieht's aus könnt ihr fliegen?,3
1983,UAV,Absage,noch negativ,0
1984,UAV,Information geben,im Moment ist wieder zu viel Regen,2
1985,TL,Sonstiges,ja verstanden,2
1986,TL,Kontakt Anfrage,UGV 1 von Teamleader kommen,4
1987,UGV-1,Kontakt Bestätigung,kommen Sie,5
1988,TL,Information nachfragen,UGV 2 erreicht?,3
1989,UGV-1,Absage,ja ist negativ,0
1990,UGV-1,Information geben,ich bin einmal jetzt um das Gebäude rum Tim war dat 'ne schräge Treppe,2
1991,UGV-2,Information geben,ja wie so 'ne Stahltreppe halt aussieht ne biegt erst mal einer nach oben weiter konnte ich nicht sehen,2
1992,UGV-2,Information geben,weil meine Kamera nicht höher ge-,2
1993,UGV-1,Information geben,ja weil ich stehe vor einer da liegt auch ein Trümmerteil davor,2
1994,UGV-2,Information geben,es gab einmal eine Treppe da stand 'n Schild kein Durchgang,2
1995,UGV-2,Information geben,dann bin ich natürlich nicht hochgefahren,2
1996,UGV-2,Information geben,und dann war die andere Treppe war mit so 'nem weißen Geländer abgesperrt hier,2
1997,UGV-2,Information geben,in dem Bereich befinde ich mich,2
1998,UGV-1,Sonstiges,ja hab ich verstanden ich guck nochmal,2
1999,TL,Kontakt Anfrage,UGV 1 von Teamleader,4
2000,UGV-1,Kontakt Bestätigung,ich komm',5
2001,TL,Einsatzbefehl,könnt ihr was erkunden was da in lauter Rauch steht?,3
2002,UGV-1,Information geben,ja hab ich da müsstest ein Foto von hab'n,2
2003,TL,Information geben,ich gucke,2
2004,TL,Einsatzbefehl,dann schick mir mal 'n Foto davon,1
2005,UGV-1,Kontakt Anfrage,Teamleader von UGV 1,4
2006,UGV-1,Information geben,ich hab 'nen weiteren Kanister gefunden weiß,2
2007,UGV-1,Information geben,werde jetzt ein Foto davon machen und dir schicken,2
2008,UGV-1,Information nachfragen,Tim bist du so 'nen Gang entlang gefahren?,3
2009,UGV-2,Zusage,ja korrekt,7
2010,UGV-1,Kontakt Anfrage,Teamleader von UGV 1,4
2011,TL,Kontakt Bestätigung,hört,5
2012,UGV-1,Information geben,ja der weiße Kanister steht aufrecht,2
2013,UGV-1,Information geben,scheint verschlossen zu sein ich werd ihn jetzt mal versuchen zu drehen um eventuell 'n Piktogramm darauf zu sehen,2
2014,TL,Sonstiges,ja verstanden,2
2015,TL,Kontakt Anfrage,UGV 2 wie sieht's bei euch aus? UGV 2 von Teamleader kommen,4
2016,TL,Kontakt Anfrage,UGV 2 von Teamleader kommen,4
2017,UGV-2,Kontakt Bestätigung,UGV 2 gerufen?,3
2018,TL,Zusage,ja richtig,7
2019,TL,Information nachfragen,wie sieht's bei euch aus geht gar nichts mehr oder seid ihr wieder im Spiel?,3
2020,TL,Kontakt Anfrage,UGV 2 von Teamleader kommen,4
2021,UGV-2,Kontakt Bestätigung,UGV 2 gerufen?,3
2022,TL,Zusage,ja richtig,7
2023,UGV-2,Zusage,ja mein Roboter hier der hat jetzt ne Kette fast verloren,2
2024,TL,Information geben,also defekt,2
2025,TL,Kontakt Anfrage,UGV 1 von Teamleader kommen,4
2026,UGV-1,Information geben,ja mir ist jetzt gelungen das Gefäß zu bergen beziehungsweise zu drehen,2
2027,UGV-1,Einsatzbefehl,werd jetzt einmal ne Rundumschau von dem Gefäß machen,2
2028,UGV-1,Information geben,ich schick' dir aber erst nochmal 'n Foto,2
2029,UGV-1,Information geben,beim wenden des Gefäßes ist ein leichter flüssiger Stoff ausgetreten,2
2030,UGV-1,Information geben,aber nur ein Spritzer,2
2031,UGV-1,Information geben,keine Gefahr,2
2032,UGV-1,Kontakt Anfrage,Teamleader von UGV 1,4
2033,TL,Kontakt Bestätigung,Teamleader hört,5
2034,UGV-1,Information geben,ja der Kanister wurde jetzt von allen Seiten begutachtet Kanister ist verschlossen keine Gefahr und Piktogramme auf dem Kanister,2
2035,UGV-1,Information geben,ich beweg' mich weiter fort,2
2036,TL,Sonstiges,ja verstanden,2
2037,UGV-1,Kontakt Anfrage,Teamleader von UGV 1,4
2038,UGV-1,Information geben,ich versuche jetzt zur UGV 2 zu kommen,2
2039,TL,Sonstiges,ja verstanden,2
2040,TL,Information nachfragen,was ist mit der Drohne? Teamleader kommen,4
2041,UAV,Kontakt Bestätigung,die UAV hört,5
2042,TL,Information nachfragen,ja UAV wie sieht's aus könnt ihr fliegen?,3
2043,UAV,Zusage,ne leider immer noch nicht,0
2044,UAV,Information geben,es regnet zu sehr,2
2045,TL,Sonstiges,ja verstanden,2
2046,UAV,Kontakt Anfrage,Teamleader von UAV kommen,4
2047,UAV,Kontakt Anfrage,Teamleader von UAV kommen,4
2048,TL,Kontakt Bestätigung,hört,5
2049,UAV,Information geben,wir sind mit der Drohne jetzt in der Luft und werden hinter das Gebäude fliegen,2
2050,TL,Sonstiges,ja verstanden,2
2051,TL,Information nachfragen,UAV 1 habt ihr das Ziel erreicht?,3
2052,UGV-1,Information geben,also ich hab den UAV 2 getroffen kann da aber mich nicht weiter,2
2053,UGV-1,Information geben,aber ich seh' jetzt wieder 'ne Rauchentwicklung,2
2054,TL,Sonstiges,ja verstanden,2
2055,TL,Kontakt Anfrage,UAV Drohne?,4
2056,UAV,Kontakt Bestätigung,die Drohne hört,5
2057,UAV,Information geben,wir haben auch gerade mal zwei Bilder gemacht,2
2058,UAV,Information geben,die Rauchentwicklung kommt neben dem Hochofen zustande,2
2059,TL,Kontakt Anfrage,UAV Drohne,4
2060,TL,Einsatzbefehl,kann man von oben vielleicht mir ein Foto schicken?,1
2061,UAV,Information geben,wir haben ein Foto geschickt,7
2062,UAV,Information geben,wir schalten jetzt mal auf Infrarot um zu gucken ob wir irgendwo eine thermische Entwicklung erkennen können,2
2063,TL,Sonstiges,ja verstanden,2
2064,UAV,Kontakt Anfrage,Teamleader -,4
2065,UGV-1,Kontakt Anfrage,UAV 1 von UGV 1,4
2066,UGV-1,Kontakt Anfrage,UAV 1 von UGV 1,4
2067,UGV-1,Kontakt Anfrage,Drohne von UGV 1,4
2068,UAV,Kontakt Bestätigung,die Drohne hört,5
2069,UGV-1,Einsatzbefehl,kannst du mir nochmal ein bisschen näher beschreiben wo die Rauchentwicklung ist?,3
2070,UAV,Information geben,ich hab' gerade Schwierigkeiten,2
2071,UAV,Information geben,weil ich seh' dich auf dem anderen Bild gerade nicht,2
2072,UAV,Information geben,du kannst aber in die Bilderbox gucken da müsstest du eigentlich das Bild aus Sichtweise der Drohne sehen,2
2073,UGV-1,Kontakt Anfrage,Teamleader von UGV 1,4
2074,TL,Kontakt Bestätigung,Teamleader hört,5
2075,UGV-1,Information geben,ja ich komme nicht weiter höher ins Obergeschoss ohne dass ich eine Absperrung durchfahre,2
2076,TL,Zusage,ja fahren Sie wieder zurück ins Untergeschoss,1
2077,TL,Kontakt Anfrage,UGV Drohne von Teamleader kommen,4
2078,UAV,Kontakt Bestätigung,UAV hört,5
2079,TL,Einsatzbefehl,noch ein Bild schicken und das aber mit einem Schwarz-Weiß-Hintergrund,1
2080,UAV,Zusage,machen wir dir fertig,7
2081,UGV-1,Kontakt Anfrage,Teamleader von UGV 1,4
2082,UGV-1,Information geben,hast du mittlerweile den blauen Kanister gesehen,3
2083,UGV-1,Information geben,weil ich komm da gerade nochmal vorbei,2
2084,UGV-1,Einsatzbefehl,könnt ich ein neues Foto machen,2
2085,TL,Information geben,ja schick ich jetzt den Angriff dorthin zum Lesen,2
2086,TL,Einsatzbefehl,aber wenn du direkt vorbeikommst dann mach nur ein näheres Foto als Nachweis,7
2087,UAV,Kontakt Anfrage,Teamleader von UAV,4
2088,UAV,Information geben,wir haben ein neues Live-Bild neue Rauchentwicklung in dem hinteren Bereich,2
2089,TL,Sonstiges,ja verstanden,2
2090,TL,Einsatzbefehl,schicken Sie mir das Foto?,1
2091,UAV,Zusage,schon da,7
2092,TL,Kontakt Anfrage,UAV Drohne,4
2093,UAV,Kontakt Bestätigung,UAV hört,5
2094,UAV,Information geben,aber ich hab nochmal ein Bild hinterher geschickt,2
2095,UAV,Information geben,die Rauchentwicklung die verringert sich zwischenzeitlich immer wieder,2
2096,UAV,Information geben,es ist aber auch sehr schwierig  genaue Bilder zu erkennen,2
2097,UAV,Information geben,aufgrund des Windes weil die Drohne noch sehr stark hin und her schwankt,2
2098,TL,Sonstiges,ja verstanden,2
2099,UAV,Kontakt Anfrage,Teamleader von der UAV Drohne,4
2100,TL,Kontakt Bestätigung,hört,5
2101,UGV-1,Information geben,wir machen jetzt erst mal noch eine Zwischenlandung für einen Akkuwechsel,2
2102,TL,Sonstiges,ja verstanden,2
2103,TL,Kontakt Anfrage,UAV 1 von Teamleader kommen,4
2104,UAV,Kontakt Bestätigung,UAV hört,5
2105,TL,Information nachfragen,hattest du von dem blauen Kanister noch ein Foto gemacht?,3
2106,UGV-1,Kontakt Bestätigung,ich bin gerade dabei,2
2107,TL,Sonstiges,verstanden,2
2108,TL,Kontakt Anfrage,Teamleader an alle,4
2109,TL,Information geben,Übung beendet,2
2110,TL,Einsatzbefehl,alle bitte hier zum Treffpunkt ans Zelt kommen,1
2111,TL,Kontakt Bestätigung,Der Radio Check,2
2112,TL,Kontakt Anfrage,UGV-1 für Einsatzleiter,4
2113,UGV-1,Kontakt Bestätigung,Ja ich kann dich hören,5
2114,TL,Kontakt Bestätigung,UGV-2,4
2115,UGV-2,Kontakt Bestätigung,UGV-2 hört dich auch,5
2116,TL,Einsatzbefehl,Wenn ihr gleich vorgeht bitte meldet mir die üblichen Gefahren an der Einsatzstelle Feuer Opfer,1
2117,TL,Einsatzbefehl,Macht bitte Fotos von Positionen die euch blöd vorkommen oder interessant vorkommen,1
2118,TL,Kontakt Anfrage,UGV-1 für Einsatzleiter,4
2119,TL,Einsatzbefehl,Bitte mach mir mal ein Foto von deinem Standort kommen,1
2120,TL,Information geben,Ich seh euch gleich am Eingang der Halle,2
2121,UGV-1,Sonstiges,Okay ja,7
2122,UGV-1,Information geben,Ich hab dir jetzt ein Foto von meinem Blickfeld geschickt,2
2123,UGV-1,Information geben,Es befindet sich schon mal links ein Gefahrgutfass Ölfass,2
2124,UGV-1,Information nachfragen,Dort auch senden?,3
2125,TL,Information geben,Also sieht so aus als hätte gerade ich gar keine Connection zur Database,2
2126,TL,Einsatzbefehl,Also beschreibe mir einfach wo du stehst,3
2127,UGV-1,Information geben,Ich bestehe an einem Gang am Anfang der Halle Eingang,2
2128,UGV-1,Information geben,Blickrichtung kann ich dir jetzt nicht sagen,2
2129,UGV-1,Information geben,Rechts von mir sehe ich den Ölfass,2
2130,UGV-1,Information geben,Ich denke also ich denke das ist ein Ölfass ich weiß nicht genau was drin ist übliches Rundfass,2
2131,UGV-1,Information geben,Ich würde jetzt einfach geradeaus fahren und schauen was ich so weiter finde,2
2132,UGV-1,Kontakt Bestätigung,Kommen,4
2133,TL,Sonstiges,Verstanden,7
2134,TL,Information geben,Einsatzauftrag du fährst den langen Gang entlang ich gehe mal davon aus dass es am südlichen Wand der Halle ist und bleibst bitte auf der Ebene,1
2135,TL,Einsatzbefehl,Wenn du hoch oder runterfährst sagst mir bitte vorher Bescheid,1
2136,TL,Kontakt Bestätigung,Kommen,4
2137,UGV-2,Kontakt Bestätigung,UGV-2 hört dich,5
2138,TL,Information nachfragen,Frage kannst du den anderen Roboter sehen?,3
2139,UGV-2,Information geben,Ich seh einen Roboter aber das wird aufgrund der Beschreibung nicht der Roboter sein,0
2140,TL,Sonstiges,Verstanden,2
2141,TL,Sonstiges,Okay,2
2142,TL,Einsatzbefehl,Einsatzauftrag für dich du fährst weiter in die Halle rein und suchst nach dem Zugang mit dem du dich weiter nach Osten entwickeln kannst,1
2143,TL,Kontakt Bestätigung,Kommen,4
2144,UGV-2,Sonstiges,Ja das ist so verstanden Ich fahr weiter Richtung Norden in die Halle rein und suche mir einen Zugang in Richtung Osten,7
2145,TL,Sonstiges,Okay,2
2146,TL,Kontakt Anfrage,Einsatzleitung für beide Roboter,4
2147,TL,Information geben,Ich habe jetzt wieder Connection zur Datenbank,2
2148,TL,Information geben,Ihr könnt also Fotos schicken,2
2149,TL,Information geben,ich sehe auch eure Position live,2
2150,UGV-1,Kontakt Anfrage,Ja Teamleader von UGV-1 kommen,4
2151,TL,Kontakt Bestätigung,Höre,5
2152,UGV-1,Information nachfragen,Kannst du denn mein Foto empfangen das ich gerade geteilt habe?,3
2153,TL,Kontakt Bestätigung,Hey ja,7
2154,TL,Information geben,Ich sehe dass die Fotos geadded wurden ich seh sie noch nicht auf der Karte,2
2155,TL,Information geben,Geh einfach weiter vor wir versuchen das Problem hier zu lösen,1
2156,UGV-1,Kontakt Anfrage,Teamleader von UT-1 kommen,4
2157,TL,Kontakt Bestätigung,Höre,5
2158,UGV-1,Kontakt Bestätigung,Ja ich gehe jetzt rechter Hand,2
2159,TL,Kontakt Anfrage,UGV-2 für Einsatzleiter kommen,4
2160,UGV-2,Kontakt Bestätigung,UGV-2,5
2161,TL,Einsatzbefehl,Kannst du mir mal ein Foto von deiner Position machen?,1
2162,UGV-2,Zusage,Ja ich mach dir mal ein Snapshot,7
2163,UGV-2,Information nachfragen,Ist das bei dir angekommen?,3
2164,TL,Sonstiges,Ja,7
2165,TL,Sonstiges,das braucht mal paar Sekunden,2
2166,UGV-1,Kontakt Anfrage,Ja Teamleader von UGV-1 kommen,4
2167,TL,Kontakt Bestätigung,Höre,5
2168,UGV-1,Information geben,Ja ich werd jetzt rechts abbiegen,2
2169,UGV-1,Information geben,Rechtseitig ein blaues Fass mit ner undefinierten Aufschrift gefunden,2
2170,UGV-1,Information geben,Hab dir ein Foto gemacht geteilt,2
2171,UGV-1,Kontakt Bestätigung,kommen,4
2172,TL,Sonstiges,Ja,5
2173,TL,Sonstiges,verstanden,2
2174,TL,Kontakt Bestätigung,UGV-1,4
2175,TL,Information nachfragen,Kannst du mal abschätzen wie weit du bis jetzt gefahren bist?,3
2176,TL,Information geben,Deine Position auf meiner Karte hat sich kaum geändert,2
2177,UGV-1,Information geben,Ja ich denke so 5-6 meter weiter bin ich noch nicht gekommen kommen,2
2178,TL,Sonstiges,Verstanden,2
2179,TL,Kontakt Anfrage,UGV-2 für Einsatzleiter,4
2180,UGV-2,Kontakt Bestätigung,UGV-2,5
2181,TL,Information nachfragen,Hat das mit dem Foto geklappt?,3
2182,TL,Zusage,Bei mir ist nichts angekommen,2
2183,UGV-2,Information geben,Also bei mir sind zwei Fotos auf der Karte hinterlegt,7
2184,UGV-2,Information geben,Die müssten auch ungefähr von meiner Position gekommen sein,2
2185,TL,Information geben,UGV-2 ich krieg deine Daten immer noch nicht,2
2186,TL,Einsatzbefehl,Kannst du mir mal grob deine Position auf der Karte durchgeben?,1
2187,TL,Sonstiges,Ja okay verstanden,2
2188,UGV-1,Information geben,I lost the connection to the TDF,2
2189,UGV-1,Kontakt Anfrage,Teamleader von UGV-1 kommen,4
2190,TL,Kontakt Bestätigung,Höre,5
2191,UGV-1,Information geben,Ja mein TDS muss neu gestartet werden,2
2192,TL,Sonstiges,Ja verstanden,2
2193,TL,Einsatzbefehl,Gib mir Bescheid wenn du weiterfährst,1
2194,UGV-2,Kontakt Anfrage,Teamleader von UGV-2,4
2195,TL,Kontakt Bestätigung,Teamleader,5
2196,UGV-2,Information geben,Ja also ich hab gerade jetzt hier ein blaues Fass gefunden,2
2197,TL,Sonstiges,Ja verstanden,2
2198,TL,Information nachfragen,Wie ist der Zustand des Fasses?,3
2199,UGV-2,Information geben,Steht senkrecht und sieht auf dem ersten Blick heil aus keine Lache oder so was drumherum,2
2200,TL,Sonstiges,Ja verstanden,2
2201,TL,Einsatzbefehl,Dann Foto machen,1
2202,TL,Information geben,Und dann weiter vorgehen,1
2203,UGV-1,Kontakt Anfrage,Teamleader von UGV-1 kommen,4
2204,TL,Kontakt Bestätigung,Höre,5
2205,UGV-1,Information geben,Ja ich kann hier weiterfahren,2
2206,TL,Sonstiges,Ja verstanden,2
2207,TL,Einsatzbefehl,Gib mir bitte nochmal ein Foto von deiner Fahrtrichtung,1
2208,UGV-1,Kontakt Anfrage,Teamleader von UGV-1 kommen,4
2209,TL,Kontakt Anfrage,UGV-1 UGV-2 und UAV kommen,4
2210,UAV,Kontakt Bestätigung,UAV hört,5
2211,UGV-1,Kontakt Bestätigung,UGV-1 hört,5
2212,UGV-2,Kontakt Bestätigung,UGV-2,5
2213,UAV,Kontakt Bestätigung,UAV,5
2214,TL,Information geben,So weiteren Einsatzauftrag erhalten folgende Lage grundsätlich die Lage die selbe wie heute morgen Explosion in diesem länglichen Gebäude unklare Ausdehnung,2
2215,TL,Information geben,Jetzt neuer Bericht von Gasgeruch in der Mitte des Gebäudes,2
2216,TL,Einsatzbefehl,Unsereines Auftrag Gasquelle lokalisieren,1
2217,TL,Einsatzbefehl,Und weiter mappen,1
2218,TL,Kontakt Anfrage,UAV von Einsatzleiter,4
2219,UAV,Kontakt Bestätigung,UAV hört,5
2220,TL,Information_nachfragen,Dein Standort ist Position ECO richtig?,3
2221,UAV,Information geben,Mein Standard ist im Moment Position ECO,7
2222,UAV,Information geben,Aber du wirst keine Updates kriegen,2
2223,TL,Sonstiges,Ja soweit verstanden,2
2224,TL,Einsatzbefehl,Einsatzauftrag bitte aufsteigen Übersichtsfoto machen wenn möglich aus allen vier Himmelsrichtungen,1
2225,TL,Kontakt Bestätigung,kommen,4
2226,UAV,Sonstiges,Verstanden,7
2227,TL,Kontakt Anfrage,UGV-1 für Einsatzleiter,4
2228,TL,Einsatzbefehl,Du machst mir jetzt ein Foto dann gucken wir,1
2229,TL,Sonstiges,Verstanden?,3
2230,UGV-1,Sonstiges,Ja verstanden,7
2231,TL,Information nachfragen,UGV-2 für Einsatzleiter mitgehört?,3
2232,UGV-2,Kontakt Bestätigung,UGV-2 mitgehört,7
2233,UGV-2,Information geben,kriegst auch ein Foto,2
2234,UGV-1,Kontakt Anfrage,Teamleader von UGV-1 kommen,4
2235,TL,Kontakt Bestätigung,Höre,5
2236,UGV-1,Zusage,Ja soll ich mal losfahren dem Tango hinterher quasi?,3
2237,TL,Information nachfragen,Wer fährt denn da schon?,3
2238,UGV-2,Information geben,UGV-2 hat sich nur ein meter fortbewegt,2
2239,TL,Sonstiges,Okay,2
2240,TL,Information geben,Also ich seh euch beide ihr steht beide am Eingang des Ganges hintereinander,2
2241,TL,Information nachfragen,Und jetzt fahrt ihr beide hintereinander her zum Punkt ASA 325 - 352 danke,1
2242,UGV-2,Sonstiges,UGV-2 verstanden,7
2243,TL,Kontakt Anfrage,UGV-1 für Einsatzleiter,4
2244,UGV-2,Kontakt Bestätigung,Hier UGV-2,4
2245,UGV-2,Information geben,UGV-1 kriegt da noch eine Einweisung,2
2246,UGV-2,Kontakt Anfrage,Teamleiter von UGV-2,4
2247,UGV-2,Information geben,Du müsstest ein Bild gekriegt haben ASA 352 müsste rechts von mir von meiner Position auf dem Bild sein,2
2248,TL,Sonstiges,Ja verstanden,2
2249,TL,Einsatzbefehl,Nimm doch mal bitte einen Rundblick,1
2250,TL,Einsatzbefehl,Wenn du da nichts entdeckst weiter Richtung Osten,1
2251,UGV-2,Sonstiges,Ja ist verstanden,7
2252,UGV-2,Kontakt Anfrage,Teamleiter von UGV-2,4
2253,TL,Kontakt Bestätigung,Höre,5
2254,UGV-2,Information geben,Gucke dir mal das Bild an was gerade gekommen ist das ist rechts von meiner Position,2
2255,UGV-2,Information geben,Ergeht irgendwie so eine Plattform mit so einer Metallbox auf Palette,2
2256,TL,Sonstiges,Ja ich gucke,7
2257,TL,Kontakt Anfrage,UGV-2 von Einsatzleiter,4
2258,TL,Einsatzbefehl,Guck dir das mal genauer an bitte wenn du da hochkommst,1
2259,UGV-2,Sonstiges,Ja das ist verstanden,7
2260,UGV-2,Zusage,Ich versuch das mal,7
